날짜,부동산지역,부동산 유형,면적,부동산수(개),면적비율(%)
202305,서울특별시 동작구,집합건물,41㎡ ~ 85㎡,70613,61.87
202305,서울특별시 동작구,집합건물,86㎡ ~ 135㎡,12999,11.39
202305,서울특별시 동작구,집합건물,136㎡ ~ 198㎡,1852,1.62
202305,서울특별시 동작구,집합건물,199㎡ 이상,527,0.46
202305,서울특별시 동작구,집합건물,기타,2593,2.27
202305,서울특별시 마포구,집합건물,전체,153402,100.00
202305,서울특별시 마포구,집합건물,0 ~ 40㎡,59958,39.09
202305,서울특별시 마포구,집합건물,41㎡ ~ 85㎡,75612,49.29
202305,서울특별시 마포구,집합건물,86㎡ ~ 135㎡,12464,8.13
202305,서울특별시 마포구,집합건물,136㎡ ~ 198㎡,2512,1.64
202305,서울특별시 마포구,집합건물,199㎡ 이상,1170,0.76
202305,서울특별시 마포구,집합건물,기타,1686,1.10
202305,서울특별시 서대문구,집합건물,전체,105619,100.00
202305,서울특별시 서대문구,집합건물,0 ~ 40㎡,31398,29.73
202305,서울특별시 서대문구,집합건물,41㎡ ~ 85㎡,62578,59.25
202305,서울특별시 서대문구,집합건물,86㎡ ~ 135㎡,8550,8.10
202305,서울특별시 서대문구,집합건물,136㎡ ~ 198㎡,1419,1.34
202305,서울특별시 서대문구,집합건물,199㎡ 이상,514,0.49
202305,서울특별시 서대문구,집합건물,기타,1160,1.10
202305,서울특별시 서초구,집합건물,전체,166961,100.00
202305,서울특별시 서초구,집합건물,0 ~ 40㎡,46942,28.12
202305,서울특별시 서초구,집합건물,41㎡ ~ 85㎡,71486,42.82
202305,서울특별시 서초구,집합건물,86㎡ ~ 135㎡,25707,15.40
202305,서울특별시 서초구,집합건물,136㎡ ~ 198㎡,14187,8.50
202305,서울특별시 서초구,집합건물,199㎡ 이상,4883,2.92
202305,서울특별시 서초구,집합건물,기타,3756,2.25
202305,서울특별시 성동구,집합건물,전체,105392,100.00
202305,서울특별시 성동구,집합건물,0 ~ 40㎡,27838,26.41
202305,서울특별시 성동구,집합건물,41㎡ ~ 85㎡,58535,55.54
202305,서울특별시 성동구,집합건물,86㎡ ~ 135㎡,13096,12.43
202305,서울특별시 성동구,집합건물,136㎡ ~ 198㎡,2755,2.61
202305,서울특별시 성동구,집합건물,199㎡ 이상,1063,1.01
202305,서울특별시 성동구,집합건물,기타,2105,2.00
202305,서울특별시 성북구,집합건물,전체,130925,100.00
202305,서울특별시 성북구,집합건물,0 ~ 40㎡,27699,21.16
202305,서울특별시 성북구,집합건물,41㎡ ~ 85㎡,83185,63.54
202305,서울특별시 성북구,집합건물,86㎡ ~ 135㎡,13725,10.48
202305,서울특별시 성북구,집합건물,136㎡ ~ 198㎡,1355,1.03
202305,서울특별시 성북구,집합건물,199㎡ 이상,448,0.34
202305,서울특별시 성북구,집합건물,기타,4513,3.45
202305,서울특별시 송파구,집합건물,전체,268391,100.00
202305,서울특별시 송파구,집합건물,0 ~ 40㎡,78401,29.21
202305,서울특별시 송파구,집합건물,41㎡ ~ 85㎡,134192,50.00
202305,서울특별시 송파구,집합건물,86㎡ ~ 135㎡,37903,14.12
202305,서울특별시 송파구,집합건물,136㎡ ~ 198㎡,10578,3.94
202305,서울특별시 송파구,집합건물,199㎡ 이상,1431,0.53
202305,서울특별시 송파구,집합건물,기타,5886,2.19
202305,서울특별시 양천구,집합건물,전체,157861,100.00
202305,서울특별시 양천구,집합건물,0 ~ 40㎡,37740,23.91
202305,서울특별시 양천구,집합건물,41㎡ ~ 85㎡,92217,58.42
202305,서울특별시 양천구,집합건물,86㎡ ~ 135㎡,20089,12.73
202305,서울특별시 양천구,집합건물,136㎡ ~ 198㎡,4879,3.09
202305,서울특별시 양천구,집합건물,199㎡ 이상,816,0.52
202305,서울특별시 양천구,집합건물,기타,2120,1.34
202305,서울특별시 영등포구,집합건물,전체,161376,100.00
202305,서울특별시 영등포구,집합건물,0 ~ 40㎡,56916,35.27
202305,서울특별시 영등포구,집합건물,41㎡ ~ 85㎡,74345,46.07
202305,서울특별시 영등포구,집합건물,86㎡ ~ 135㎡,18595,11.52
202305,서울특별시 영등포구,집합건물,136㎡ ~ 198㎡,6243,3.87
202305,서울특별시 영등포구,집합건물,199㎡ 이상,1794,1.11
202305,서울특별시 영등포구,집합건물,기타,3483,2.16
202305,서울특별시 용산구,집합건물,전체,83799,100.00
202305,서울특별시 용산구,집합건물,0 ~ 40㎡,27392,32.69
202305,서울특별시 용산구,집합건물,41㎡ ~ 85㎡,33213,39.63
202305,서울특별시 용산구,집합건물,86㎡ ~ 135㎡,12073,14.41
