연도,성별,지역,학교유형,세부유형,설립유형,학교당 학생 수(명),학생(명),학급(개),학교(개)
2014,남녀,서울특별시 서대문구,중학교,전체,전체,611.9,8566,306,14
2014,남녀,서울특별시 서초구,중학교,전체,전체,903.8,13557,429,15
2014,남녀,서울특별시 성동구,중학교,전체,전체,653.3,7186,252,11
2014,남녀,서울특별시 성북구,중학교,전체,전체,711.4,12806,425,18
2014,남녀,서울특별시 송파구,중학교,전체,전체,825.9,22299,721,27
2014,남녀,서울특별시 양천구,중학교,전체,전체,1142.6,21709,675,19
2014,남녀,서울특별시 영등포구,중학교,전체,전체,774.4,8518,287,11
2014,남녀,서울특별시 용산구,중학교,전체,전체,590.0,5310,185,9
2014,남녀,서울특별시 은평구,중학교,전체,전체,809.3,14567,467,18
2014,남녀,서울특별시 종로구,중학교,전체,전체,488.9,4400,159,9
2014,남녀,서울특별시 중구,중학교,전체,전체,370.0,2960,124,8
2014,남녀,서울특별시 중랑구,중학교,전체,전체,730.0,10220,348,14
2013,남녀,서울특별시,중학교,전체,전체,796.5,304251,9694,382
2013,남녀,서울특별시 강남구,중학교,전체,전체,793.7,19048,585,24
2013,남녀,서울특별시 강동구,중학교,전체,전체,814.2,14655,479,18
2013,남녀,서울특별시 강북구,중학교,전체,전체,734.1,9543,294,13
2013,남녀,서울특별시 강서구,중학교,전체,전체,677.0,14217,452,21
2013,남녀,서울특별시 관악구,중학교,전체,전체,716.1,11457,365,16
2013,남녀,서울특별시 광진구,중학교,전체,전체,945.0,11340,352,12
2013,남녀,서울특별시 구로구,중학교,전체,전체,864.2,11235,378,13
2013,남녀,서울특별시 금천구,중학교,전체,전체,748.0,6732,233,9
2013,남녀,서울특별시 노원구,중학교,전체,전체,929.2,24160,736,26
2013,남녀,서울특별시 도봉구,중학교,전체,전체,850.1,11051,348,13
2013,남녀,서울특별시 동대문구,중학교,전체,전체,677.7,10166,338,15
2013,남녀,서울특별시 동작구,중학교,전체,전체,677.9,10846,350,16
2013,남녀,서울특별시 마포구,중학교,전체,전체,707.6,9906,321,14
2013,남녀,서울특별시 서대문구,중학교,전체,전체,639.1,8948,312,14
2013,남녀,서울특별시 서초구,중학교,전체,전체,943.3,14149,423,15
2013,남녀,서울특별시 성동구,중학교,전체,전체,700.9,7710,263,11
2013,남녀,서울특별시 성북구,중학교,전체,전체,742.6,13366,430,18
2013,남녀,서울특별시 송파구,중학교,전체,전체,898.5,23360,725,26
2013,남녀,서울특별시 양천구,중학교,전체,전체,1216.1,23105,694,19
2013,남녀,서울특별시 영등포구,중학교,전체,전체,840.6,9247,306,11
2013,남녀,서울특별시 용산구,중학교,전체,전체,619.9,5579,182,9
2013,남녀,서울특별시 은평구,중학교,전체,전체,856.0,15408,475,18
2013,남녀,서울특별시 종로구,중학교,전체,전체,522.2,4700,163,9
2013,남녀,서울특별시 중구,중학교,전체,전체,408.3,3266,128,8
2013,남녀,서울특별시 중랑구,중학교,전체,전체,789.8,11057,362,14
2012,남녀,서울특별시,중학교,전체,전체,831.8,315241,9848,379
2012,남녀,서울특별시 강남구,중학교,전체,전체,859.1,19759,583,23
2012,남녀,서울특별시 강동구,중학교,전체,전체,840.1,15122,476,18
2012,남녀,서울특별시 강북구,중학교,전체,전체,761.5,9900,306,13
2012,남녀,서울특별시 강서구,중학교,전체,전체,694.6,14587,463,21
2012,남녀,서울특별시 관악구,중학교,전체,전체,758.9,12143,379,16
2012,남녀,서울특별시 광진구,중학교,전체,전체,978.8,11745,360,12
2012,남녀,서울특별시 구로구,중학교,전체,전체,966.3,11596,371,12
2012,남녀,서울특별시 금천구,중학교,전체,전체,797.1,7174,234,9
2012,남녀,서울특별시 노원구,중학교,전체,전체,958.7,24927,748,26
2012,남녀,서울특별시 도봉구,중학교,전체,전체,891.5,11590,360,13
2012,남녀,서울특별시 동대문구,중학교,전체,전체,710.3,10655,342,15
2012,남녀,서울특별시 동작구,중학교,전체,전체,691.0,11056,356,16
2012,남녀,서울특별시 마포구,중학교,전체,전체,728.5,10199,327,14
2012,남녀,서울특별시 서대문구,중학교,전체,전체,704.8,9162,306,13
2012,남녀,서울특별시 서초구,중학교,전체,전체,957.3,14359,428,15
2012,남녀,서울특별시 성동구,중학교,전체,전체,728.5,8014,268,11
2012,남녀,서울특별시 성북구,중학교,전체,전체,756.4,13616,429,18
2012,남녀,서울특별시 송파구,중학교,전체,전체,927.8,24124,730,26
2012,남녀,서울특별시 양천구,중학교,전체,전체,1273.5,24196,709,19
2012,남녀,서울특별시 영등포구,중학교,전체,전체,891.1,9802,323,11
2012,남녀,서울특별시 용산구,중학교,전체,전체,644.8,5803,188,9
2012,남녀,서울특별시 은평구,중학교,전체,전체,873.6,15724,484,18
2012,남녀,서울특별시 종로구,중학교,전체,전체,542.0,4878,166,9
2012,남녀,서울특별시 중구,중학교,전체,전체,439.1,3513,135,8
2012,남녀,서울특별시 중랑구,중학교,전체,전체,828.4,11597,377,14
2011,남녀,서울특별시,중학교,전체,전체,875.9,330219,10056,377
2011,남녀,서울특별시 강남구,중학교,전체,전체,902.7,20763,585,23
2011,남녀,서울특별시 강동구,중학교,전체,전체,929.1,15794,476,17
2011,남녀,서울특별시 강북구,중학교,전체,전체,803.2,10442,317,13
2011,남녀,서울특별시 강서구,중학교,전체,전체,734.0,15415,478,21
2011,남녀,서울특별시 관악구,중학교,전체,전체,803.7,12859,402,16
2011,남녀,서울특별시 광진구,중학교,전체,전체,1024.9,12299,367,12
2011,남녀,서울특별시 구로구,중학교,전체,전체,1009.1,12109,385,12
2011,남녀,서울특별시 금천구,중학교,전체,전체,857.4,7717,247,9
2011,남녀,서울특별시 노원구,중학교,전체,전체,1001.8,26047,763,26
2011,남녀,서울특별시 도봉구,중학교,전체,전체,947.8,12321,378,13
2011,남녀,서울특별시 동대문구,중학교,전체,전체,757.9,11368,355,15
2011,남녀,서울특별시 동작구,중학교,전체,전체,727.2,11635,367,16
2011,남녀,서울특별시 마포구,중학교,전체,전체,743.8,10413,335,14
2011,남녀,서울특별시 서대문구,중학교,전체,전체,759.0,9867,315,13
2011,남녀,서울특별시 서초구,중학교,전체,전체,985.4,14781,419,15
2011,남녀,서울특별시 성동구,중학교,전체,전체,765.7,8423,276,11
2011,남녀,서울특별시 성북구,중학교,전체,전체,810.1,13772,422,17
2011,남녀,서울특별시 송파구,중학교,전체,전체,975.4,25360,745,26
2011,남녀,서울특별시 양천구,중학교,전체,전체,1324.1,25157,706,19
2011,남녀,서울특별시 영등포구,중학교,전체,전체,954.2,10496,335,11
2011,남녀,서울특별시 용산구,중학교,전체,전체,641.8,5776,190,9
2011,남녀,서울특별시 은평구,중학교,전체,전체,895.4,16117,496,18
2011,남녀,서울특별시 종로구,중학교,전체,전체,565.1,5086,168,9
2011,남녀,서울특별시 중구,중학교,전체,전체,480.6,3845,140,8
2011,남녀,서울특별시 중랑구,중학교,전체,전체,882.6,12357,389,14
