날짜,지역,항목,인원유형,월 총(명),버스+지하철 월합(명),하루평균(명)
202301,중구,지하철,승하차인원,19771832,26778721,637801
202301,중구,버스,승하차인원,7006889,,226029
202312,중랑구,지하철,승하차인원,6278897,14415285,202545
202312,중랑구,버스,승하차인원,8136388,,262464
202311,중랑구,지하철,승하차인원,6389252,14504733,212975
202311,중랑구,버스,승하차인원,8115481,,270516
202310,중랑구,지하철,승하차인원,6381886,14344040,205867
202310,중랑구,버스,승하차인원,7962154,,256844
202309,중랑구,지하철,승하차인원,6086635,14025868,202888
202309,중랑구,버스,승하차인원,7939233,,264641
202308,중랑구,지하철,승하차인원,6042755,14094042,194928
202308,중랑구,버스,승하차인원,8051287,,259719
202307,중랑구,지하철,승하차인원,5904884,14126598,190480
202307,중랑구,버스,승하차인원,8221714,,265217
202306,중랑구,지하철,승하차인원,6090800,14250531,203027
202306,중랑구,버스,승하차인원,8159731,,271991
202305,중랑구,지하철,승하차인원,6607555,14975558,213147
202305,중랑구,버스,승하차인원,8368003,,269936
202304,중랑구,지하철,승하차인원,6358625,14416150,211954
202304,중랑구,버스,승하차인원,8057525,,268584
202303,중랑구,지하철,승하차인원,6692886,15145177,215900
202303,중랑구,버스,승하차인원,8452291,,272655
202302,중랑구,지하철,승하차인원,5758920,12950955,205676
202302,중랑구,버스,승하차인원,7192035,,256858
202301,중랑구,지하철,승하차인원,5681290,12931082,183267
202301,중랑구,버스,승하차인원,7249792,,233864
