,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
222,종로구,숭인1동,6102,736,1897,1588,2868519,0.04694816053511706,0.200752508361204,0.268938127090301,0.20785953177257524,숭인1동,12,1.0,1477.0,16.75
223,종로구,숭인2동,10540,2267,6053,3358,2607311,0.05719436250409702,0.13470993117010815,0.283677482792527,0.20894788593903638,숭인2동,8,0.0,2185.0,13.73
224,금천구,시흥1동,33883,4103,15341,10181,2757307,0.03206831119544592,0.2723908918406072,0.2821631878557875,0.1666034155597723,시흥1동,42,1.0,11891.0,16.11
225,금천구,시흥2동,20705,1090,2778,7981,3181421,0.06088599002449606,0.13298704365020808,0.2894666942124369,0.1994215388247794,시흥2동,20,0.0,7155.0,18.27
226,금천구,시흥3동,10457,3839,9592,4077,2516251,0.09659502535619416,0.10268051195363438,0.2580536102390727,0.21588988167109394,시흥3동,16,0.0,4388.0,30.17
227,금천구,시흥4동,20253,1171,2350,5976,2405620,0.059481686908291094,0.11504255522616429,0.25714832169838386,0.24165630678014727,시흥4동,25,0.0,6283.0,16.38
228,금천구,시흥5동,18824,1517,3732,5507,2375052,0.06522490495235274,0.11869846442502345,0.25487582086604454,0.22683059299856811,시흥5동,35,0.0,5395.0,16.13
229,영등포구,신길1동,20641,1492,4556,4280,2780044,0.06422651933701658,0.11357841053973651,0.24856566085847853,0.2477688057798555,신길1동,21,1.0,4941.0,18.56
230,영등포구,신길3동,17083,1274,2701,4739,3085442,0.04452303667457972,0.18124121893319123,0.3136960418584371,0.18148345525895063,신길3동,25,0.0,4931.0,14.43
231,영등포구,신길4동,12980,620,1455,3725,2717791,0.06322074577064918,0.11766083240648598,0.2939179301059533,0.19914534917754492,신길4동,13,0.0,3731.0,15.32
232,영등포구,신길5동,11021,721,2192,2301,2656511,0.06587057010785824,0.11147919876733436,0.29938366718027737,0.19768875192604007,신길5동,21,0.0,3400.0,15.72
233,영등포구,신길6동,18507,1659,5235,5043,2954616,0.0702295617457581,0.10135196443153979,0.2889937392251157,0.20234098539152526,신길6동,23,2.0,5281.0,15.49
234,영등포구,신길7동,20044,996,3511,6690,3616070,0.06067974280002161,0.1543740206408386,0.30080510077268063,0.18733452207272924,신길7동,32,3.0,6702.0,15.95
235,중랑구,신내1동,38247,3257,15420,12959,2780491,0.08970265416084613,0.12297944522051486,0.337357812811814,0.13959289562961485,신내1동,53,1.0,12815.0,25.44
236,중랑구,신내2동,19906,1556,7186,8440,3060535,0.10081836483907235,0.11386513974952284,0.271786022433132,0.197819436818574,신내2동,19,0.0,6891.0,16.87
237,중구,신당5동,10472,1552,4149,3376,3027979,0.07500251180548578,0.109916608057872,0.2797648950065307,0.22490706319702602,신당5동,8,1.0,2990.0,13.23
238,중구,신당동,8921,12136,23988,2526,2816850,0.0492742551566081,0.1556531703590527,0.31283422459893045,0.18477845683728036,신당동,8,2.0,3376.0,13.86
239,동작구,신대방1동,25123,1453,3806,6538,3845094,0.03194709113328102,0.22284497253671112,0.3028808429548257,0.17217800694989352,신대방1동,14,0.0,7495.0,15.55
240,동작구,신대방2동,22383,1810,18775,5520,3340157,0.09162918441268957,0.13919515981371652,0.2910878477888787,0.17036181984635593,신대방2동,28,2.0,6373.0,16.54
241,구로구,신도림동,36089,3711,15112,11124,4380318,0.08041817450743868,0.16610820712147611,0.3271232631908145,0.158200419961578,신도림동,41,3.0,12771.0,19.63
