Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
0,0,0,0,0,장애인,10,9,10,9,8,8,9,9,9,10,10,11,12,12,12,13,13,13,12,11,7,7,15,19
0,0,0,0,0,청소년,5,16,10,4,5,5,5,6,6,6,7,6,6,7,8,8,10,11,10,10,8,12,15,21
0,0,0,2023-12-08(금),맑음,경로,8,11,12,11,10,9,9,9,9,9,11,11,12,12,12,13,14,14,12,10,9,7,9,9
0,0,0,0,0,국가유공자,14,11,9,10,8,8,9,9,9,12,9,9,11,11,11,10,9,10,15,17,14,0,0,0
0,0,0,0,0,어린이,0,24,17,6,2,7,8,5,8,5,3,4,5,5,4,4,5,4,6,14,1,11,0,0
0,0,0,0,0,외국인,0,0,0,12,10,9,8,9,8,9,8,9,8,9,9,7,9,7,8,7,6,0,0,0
0,0,0,0,0,일반인,12,13,13,12,9,9,9,10,10,11,11,12,13,14,14,14,15,15,15,14,12,11,11,10
0,0,0,0,0,장애인,9,10,9,9,8,9,9,9,9,9,10,11,11,12,12,12,12,14,13,11,10,5,7,7
0,0,0,0,0,청소년,6,13,10,4,4,4,4,5,6,6,7,5,8,8,9,9,10,11,10,10,7,8,7,10
0,0,0,2023-12-09(토),맑음,경로,10,12,12,11,12,11,11,10,10,11,12,13,12,12,13,13,14,14,12,10,10,8,13,6
0,0,0,0,0,국가유공자,27,7,15,11,10,12,10,11,8,11,9,9,9,12,9,12,10,10,13,16,19,0,0,0
0,0,0,0,0,어린이,0,11,7,14,8,6,6,7,6,6,7,8,8,8,9,11,11,11,10,8,0,0,0,0
0,0,0,0,0,외국인,0,0,8,12,11,10,10,10,8,9,7,9,11,9,9,9,9,10,10,8,0,0,0,0
0,0,0,0,0,일반인,12,14,13,13,11,10,10,11,11,11,12,12,12,12,12,14,15,15,15,14,12,11,10,10
0,0,0,0,0,장애인,11,11,11,10,11,11,10,9,10,11,11,12,12,12,11,13,13,13,12,10,9,10,10,12
0,0,0,0,0,청소년,7,27,10,11,6,6,7,8,8,7,9,10,10,10,11,13,14,13,12,9,7,6,2,0
0,0,0,2023-12-10(일),맑음,경로,13,12,12,12,12,11,10,10,10,11,12,13,12,12,12,13,13,13,12,8,8,10,14,11
0,0,0,0,0,국가유공자,0,7,9,15,8,9,9,10,13,8,10,8,9,7,9,10,8,9,9,13,14,0,0,0
0,0,0,0,0,어린이,0,20,4,12,10,8,7,7,7,8,9,9,10,9,9,10,13,7,8,6,2,0,0,0
0,0,0,0,0,외국인,0,28,0,20,12,9,11,9,10,9,9,8,10,10,9,14,8,11,10,8,0,0,0,0
0,0,0,0,0,일반인,12,15,13,12,11,10,9,10,10,10,11,11,12,12,12,13,14,14,14,12,12,11,12,10
0,0,0,0,0,장애인,13,13,10,10,12,10,9,10,10,10,11,12,11,11,11,12,12,11,11,10,9,13,10,1
0,0,0,0,0,청소년,6,9,11,9,6,6,7,8,7,7,8,8,9,9,11,11,13,11,10,8,6,7,9,3
0,0,0,2023-12-11(월),강우,경로,8,11,12,11,10,9,9,9,9,9,11,12,12,12,12,13,13,13,12,10,8,16,10,9
0,0,0,0,0,국가유공자,5,12,9,10,7,9,8,8,7,7,9,9,11,10,11,10,10,10,10,7,6,0,15,0
