,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3
강동구 2023-12-12(화),16.92,19.5,20.93,20.49,20.0,20.0,18.18,18.75,18.75,18.0,18.0,16.88,17.65,19.41,18.75,18.62,18.0,19.35,18.62,18.46,16.8,17.65,16.5,18.62
강동구 2023-12-13(수),16.1,21.0,20.93,21.0,20.0,20.0,18.18,18.75,18.75,18.0,17.42,17.42,18.86,19.41,18.75,19.29,18.0,18.0,18.0,17.78,16.36,18.86,17.65,20.0
강동구 2023-12-14(목),16.22,21.0,20.93,21.0,20.0,18.75,17.65,18.18,18.75,18.0,18.0,17.42,17.65,19.41,19.35,19.29,18.0,18.0,18.62,18.46,17.5,15.43,14.63,18.46
강북구 2023-12-01(금),16.1,19.02,20.0,18.57,17.65,16.88,16.0,16.55,16.55,16.55,16.0,16.55,16.0,16.0,17.78,17.5,16.8,18.46,16.8,17.14,16.67,15.0,15.0,19.2
강북구 2023-12-02(토),17.14,19.02,19.46,18.86,18.18,18.75,18.18,16.88,17.42,18.0,16.88,16.88,17.42,17.14,16.8,16.8,17.78,17.78,18.46,18.0,16.0,17.65,19.09,16.36
강북구 2023-12-03(일),15.79,17.84,20.57,20.57,20.0,18.75,17.42,17.42,17.42,18.0,18.0,18.62,19.29,17.78,18.46,20.0,19.29,18.46,17.5,15.79,15.0,18.75,18.26,17.5
강북구 2023-12-04(월),16.1,19.53,19.09,19.09,18.18,17.42,18.0,16.55,16.55,17.14,16.55,17.14,16.0,18.0,17.14,16.8,17.78,18.46,16.8,18.0,18.75,16.36,17.14,19.2
강북구 2023-12-05(화),16.5,19.53,19.53,19.53,17.65,16.88,17.42,16.55,16.55,17.14,17.14,16.55,16.0,18.0,17.78,16.8,18.46,16.8,16.8,17.14,18.75,16.36,18.0,19.2
강북구 2023-12-06(수),16.5,18.57,19.53,20.0,18.18,17.42,18.0,16.55,16.0,15.0,17.14,16.55,16.0,18.0,17.78,16.8,18.46,18.46,17.5,17.14,16.67,16.67,19.09,17.5
강북구 2023-12-07(목),16.1,19.53,19.53,20.0,18.18,19.35,17.42,16.0,16.55,17.14,17.14,16.55,18.0,18.0,17.78,16.8,17.78,18.46,16.8,17.14,16.67,15.0,16.36,17.5
강북구 2023-12-08(금),16.1,18.57,19.53,19.02,18.18,16.88,16.0,16.55,16.0,16.55,16.0,16.0,18.0,16.0,17.78,17.5,18.46,18.46,16.8,16.36,17.65,16.67,16.15,18.95
강북구 2023-12-09(토),15.71,19.02,20.0,20.0,20.0,18.75,18.18,16.88,17.42,17.42,16.88,18.18,16.88,16.55,18.46,16.8,18.62,17.14,17.78,17.14,15.0,18.75,18.26,18.0
강북구 2023-12-10(일),16.22,18.95,20.57,20.57,18.75,18.75,18.0,17.42,18.0,18.0,18.62,17.42,18.62,17.78,18.46,19.29,18.62,18.46,16.8,15.79,18.75,18.75,18.26,19.2
강북구 2023-12-11(월),16.5,19.53,19.09,17.73,16.22,17.42,16.55,16.55,16.55,17.14,17.14,17.14,16.55,16.0,17.78,17.5,18.46,16.8,19.2,18.0,16.0,16.67,16.36,20.87
강북구 2023-12-12(화),16.1,18.57,19.53,18.57,17.65,17.42,18.0,16.55,16.55,16.55,17.14,17.14,16.55,18.62,17.78,17.5,16.15,18.46,16.8,17.14,17.65,18.0,19.2,17.5
강북구 2023-12-13(수),16.5,18.57,19.53,18.57,18.18,17.42,17.42,16.55,16.55,16.0,16.55,16.55,16.0,16.55,17.78,17.5,17.78,16.8,16.8,17.14,17.65,16.36,19.2,17.5
강북구 2023-12-14(목),16.1,20.0,19.53,18.57,18.18,16.88,17.42,16.0,16.0,16.55,16.55,16.55,16.0,16.55,17.78,17.5,16.15,16.8,17.5,16.36,17.65,17.5,18.26,18.46
강서구 2023-12-01(금),16.36,21.0,21.95,21.54,20.62,21.29,20.0,20.0,20.0,20.62,19.41,18.86,20.0,20.53,20.0,21.29,20.62,20.0,20.0,20.69,17.14,15.56,17.78,18.26
강서구 2023-12-02(토),16.67,20.49,22.29,21.67,21.18,21.82,20.57,20.57,20.57,21.18,20.57,20.0,20.0,20.0,21.29,21.29,19.41,21.82,20.0,20.0,17.65,16.55,16.15,20.0
강서구 2023-12-03(일),15.43,20.0,21.82,22.29,22.29,22.29,21.18,21.18,21.82,21.18,21.18,20.57,21.82,21.29,22.5,22.5,20.57,21.18,21.82,20.0,17.65,17.14,17.78,19.35
강서구 2023-12-04(월),17.14,20.49,22.86,21.0,20.62,20.62,20.0,20.0,20.62,19.35,20.0,18.75,19.41,21.08,21.67,21.82,21.18,20.62,20.62,20.69,17.14,17.5,17.42,18.46
강서구 2023-12-05(화),15.88,20.49,21.95,20.49,20.62,20.62,21.18,20.0,20.0,20.62,18.75,20.0,19.41,21.67,20.0,21.82,21.18,21.18,20.0,20.69,20.0,17.42,18.18,18.62
강서구 2023-12-06(수),17.14,21.0,21.95,21.54,20.62,20.62,20.0,20.0,20.62,19.35,18.75,20.0,19.41,21.08,20.57,21.82,21.18,21.18,20.62,20.69,18.95,17.42,17.65,17.78
강서구 2023-12-07(목),17.14,21.0,23.41,21.54,20.62,20.62,20.0,21.18,20.0,18.75,20.62,20.0,18.86,21.67,20.57,22.5,21.18,21.18,21.82,21.29,17.14,15.48,16.55,19.35
강서구 2023-12-08(금),15.88,21.0,22.5,21.54,21.29,21.29,20.0,20.0,20.0,20.0,20.0,18.86,20.0,21.08,20.57,20.62,20.0,21.18,20.0,21.29,17.14,16.15,16.88,20.0
강서구 2023-12-09(토),15.79,21.0,20.57,21.67,21.18,21.82,21.67,20.57,20.57,21.18,20.0,20.0,20.0,20.0,21.29,21.29,20.0,21.18,20.57,20.0,18.75,16.15,16.36,19.09
강서구 2023-12-10(일),16.36,20.0,21.18,21.67,22.29,22.29,20.57,22.29,21.18,21.82,21.82,20.57,21.82,20.62,20.62,20.62,21.18,21.82,21.82,20.69,18.0,17.14,15.88,19.29
강서구 2023-12-11(월),15.88,21.0,21.43,21.0,20.62,20.62,20.0,20.0,20.62,19.35,18.75,18.75,19.41,21.08,20.0,20.0,21.82,21.82,20.62,20.69,19.09,14.48,16.0,20.87
강서구 2023-12-12(화),15.88,21.0,21.95,21.54,20.62,20.62,21.18,19.41,20.0,20.0,19.41,20.0,18.86,21.08,20.0,21.82,21.18,21.18,20.0,20.69,17.14,15.43,16.88,20.0
강서구 2023-12-13(수),17.14,21.0,21.95,21.54,20.62,20.62,20.0,19.41,20.0,19.35,20.62,20.0,20.57,21.08,20.57,20.62,21.82,21.18,21.82,22.0,17.14,17.14,17.14,19.2
강서구 2023-12-14(목),16.67,21.0,21.95,21.54,20.62,20.62,20.0,20.0,20.0,18.75,20.0,20.0,18.86,20.0,20.57,20.62,21.18,21.18,20.57,21.29,20.0,15.0,16.36,18.46
