Column1,행정구,행정동,인구수,age_10,age_20,age_3040,노약자,사업체수,종사자수,집개수,소득,버스정류장개수,지하철역개수,도로평균속도,1인당자동차등록대수,시내버스노선수,버스승차량
79,영등포구,도림동,19571,0.045015584,0.138367993,0.322466915,0.181544121,1707,3580,4005,3031484,23,0,15.89,0.29078739,21,1722837
80,도봉구,도봉1동,20280,0.051134122,0.108086785,0.231410256,0.301084813,2147,6178,6964,2275377,36,0,15.57,0.327268245,99,3078504
81,도봉구,도봉2동,26093,0.054612348,0.105545549,0.259418235,0.269305944,2035,7780,9542,2811820,43,3,16.25,0.324033266,112,2408888
82,마포구,도화동,20867,0.068864715,0.127521925,0.311544544,0.188239804,3142,17730,7170,4217433,33,3,17.41,0.374610629,27,2618146
83,금천구,독산1동,48208,0.050800697,0.174970959,0.364545304,0.134645702,5608,24752,13038,3000453,66,0,17.66,0.372407069,70,5439783
84,금천구,독산2동,19278,0.054466231,0.129214649,0.27144932,0.200280112,1531,4184,4931,2251577,9,0,15.17,0.271656811,94,3590921
85,금천구,독산3동,27090,0.045256552,0.142488003,0.282650425,0.191362126,2677,6887,6967,2386851,22,0,15.41,0.280546327,113,5269138
86,금천구,독산4동,16212,0.055020972,0.127189736,0.26572909,0.198371577,1385,3457,3946,2255044,15,0,15.15,0.278188996,85,3994180
87,성북구,돈암1동,14420,0.075312067,0.132524272,0.262066574,0.213661581,688,2087,5778,3583117,14,0,18.23,0.288557559,63,4878840
88,성북구,돈암2동,23619,0.111859096,0.115923621,0.28532114,0.160252339,909,2893,8240,4297592,34,0,19.64,0.320674034,15,1872742
89,성북구,동선동,16016,0.061688312,0.332667333,0.270541958,0.139110889,2682,10483,4298,2821008,17,0,14.68,0.213474026,68,6252072
90,중구,동화동,10136,0.077841358,0.118291239,0.27081689,0.202446725,1337,4391,3180,3621349,4,0,17.25,0.288082084,11,426736
91,강동구,둔촌1동,71,0.070422535,0.126760563,0.366197183,0.14084507,36,286,5,3596734,9,2,14.57,7.676056338,21,598397
