정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Column1
명동입구,~,M4137,아이파크.호수부영4차 - 호수부영4차.아이파크,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M4137,아이파크.호수부영4차 - 호수부영4차.아이파크,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M5107,경희대차고지(경유) - 경희대정문,2023-12-18(월),일반인,0,0,0,0,5,0,25,0,11,0,22,1,16,0,15,2,30,2,26,0,27,0,34,1,67,0,128,0,87,4,158,0,79,0,93,0,67,0,40,0,6,0,0,0,0,0,0,0,
명동입구,~,M5107,경희대차고지(경유) - 경희대정문,2023-12-18(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M5107,경희대차고지(경유) - 경희대정문,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,
명동입구,~,M5107,경희대차고지(경유) - 경희대정문,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M5107,경희대차고지(경유) - 경희대정문,2023-12-18(월),장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
명동입구,~,M5115,상현역 - 상현역,2023-12-18(월),일반인,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,5,0,4,0,0,0,2,0,0,0,11,0,11,0,5,0,8,0,3,0,3,0,1,0,2,0,0,0,0,0,0,0,
명동입구,~,M5115,상현역 - 상현역,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M5115,상현역 - 상현역,2023-12-18(월),국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M5121,삼성전자중앙문 - 삼성전자중앙문,2023-12-18(월),일반인,0,0,0,0,5,0,24,0,18,0,12,0,7,0,4,0,8,0,15,0,10,0,13,0,15,0,39,0,81,0,33,0,22,0,20,0,35,0,14,0,0,0,0,0,0,0,0,0,
명동입구,~,M5121,삼성전자중앙문 - 삼성전자중앙문,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,M5121,삼성전자중앙문 - 삼성전자중앙문,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,P9211(퇴근),서울시청 - 마북동.현대연수원.한국미술관,2023-12-18(월),일반인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
